Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Chawlas 2,2,1.5,28,14.0
Chawla's Tandoori Xpress,2,2.85,120,60.0
Chawla's,2,3.35,185,92.5
Chawla Family Restaurant,2,3.05,101,50.5
Chauhan Hotel,2,1.45,11,5.5
Pizza Day,2,0.0,4,2.0
Pitstop,2,1.65,87,43.5
Chao Cart,2,3.2,36,18.0
Chalte Firte Momos & Special Foods,2,3.35,267,133.5
Chai Thela,2,1.55,11,5.5
Chai Mantra,2,1.6,18,9.0
Chaap Point,2,3.2,34,17.0
Ceviche Tapas Bar & Restaurant,2,4.25,1993,996.5
Carl's Jr.,2,3.65,503,251.5
Pho King Awesome,2,2.05,254,127.0
Perfect Bake,2,3.55,165,82.5
Perch Wine & Coffee Bar,2,4.25,665,332.5
Pebble Street,2,3.95,1703,851.5
Patiala Shahi,2,3.45,196,98.0
Pastry Palace,2,1.6,13,6.5
Pasta Hut,2,3.4,116,58.0
Punjabee's Darbar,2,3.15,53,26.5
Cake Palace,2,3.25,171,85.5
Cake 24x7,2,1.65,27,13.5
Caff�� La Poya,2,1.85,164,82.0
Caffe Tonino,2,3.85,1604,802.0
Caffe 9,2,4.2,1030,515.0
Cafe Diva,2,3.85,456,228.0
Cafe Coffee Day The Square,2,3.65,410,205.0
Cafe Buddy's,2,1.45,6,3.0
Cafe Brown Sugar,2,3.65,551,275.5
Burgrill,2,4.45,427,213.5
Puja Sandwich House,2,1.35,17,8.5
Prince Chaat Corner,2,3.45,96,48.0
Pizza Yum,2,2.9,32,16.0
Pizza King,2,0.0,1,0.5
Pizza Diet,2,2.75,35,17.5
Biryaniwala,2,2.35,94,47.0
Relax Xpress,2,3.2,100,50.0
Reena Restaurant,2,3.1,66,33.0
Red Mango,2,3.65,550,275.0
Rasoi - The Indian Zaika,2,0.0,2,1.0
Rasoi,2,1.5,7,3.5
Ramesh Vaishno Dhaba,2,3.1,48,24.0
Ram Chinese Food,2,3.0,32,16.0
Rajshree,2,3.2,27,13.5
Rajdhani Restaurant,2,0.0,0,0.0
Raj Restaurant,2,2.75,103,51.5
Raj Rasoi,2,1.65,76,38.0
Raasta,2,3.85,2943,1471.5
Qureshi Kabab Corner,2,3.65,81,40.5
Punjabi Chicken,2,0.0,3,1.5
Punjabi By Nature,2,3.7,2026,1013.0
Royal Spice,2,0.0,1,0.5
Roti Aur Boti,2,3.35,56,28.0
Rolling Beans,2,2.8,14,7.0
Roll Corner,2,1.65,14,7.0
Riyaz Chicken Corner,2,1.7,75,37.5
Rhinehart's Oyster Bar,2,4.0,782,391.0
Burger Joint,2,1.75,165,82.5
Burger Hut,2,3.2,335,167.5
Brown Town,2,1.35,13,6.5
Brijwasi Restaurant,2,3.0,71,35.5
BonJuz,2,1.55,8,4.0
Bon Bon Pastry Shop,2,3.3,304,152.0
Bombay Brasserie,2,4.4,1984,992.0
Bobby Tikki Wala,2,2.9,143,71.5
Blue Tokai Coffee Roasters,2,3.85,279,139.5
Black Pepper,2,2.05,223,111.5
Bikaner Misthan Bhandar,2,0.0,0,0.0
Bikaner Kesarvala,2,1.6,26,13.0
Shawarma King's,2,3.4,143,71.5
Shankar Fast Food,2,2.95,89,44.5
Shamji Sweets,2,3.05,41,20.5
Shalimar Vyanjan,2,1.5,9,4.5
Shake Square,2,3.65,1594,797.0
Sethi's The Cake Shop,2,3.35,166,83.0
Senorita's,2,1.85,60,30.0
Sbarro,2,3.4,1408,704.0
Say Cheese,2,2.7,192,96.0
Sandwich King,2,3.65,314,157.0
San Carlo,2,4.25,893,446.5
Sagar Dhaba,2,1.55,29,14.5
Sadda Adda,2,1.75,24,12.0
Royale Bakers,2,1.4,18,9.0
Smaaash,2,3.95,743,371.5
Singz,2,2.7,103,51.5
Singh Chicken,2,0.0,3,1.5
Silantro Fil-Mex,2,4.85,1364,682.0
Sibang Bakery,2,3.7,240,120.0
Shyam Sweets,2,3.45,209,104.5
Shri Ram Restaurant,2,2.85,98,49.0
Shree Durga Dosa,2,3.05,62,31.0
Biryani Vice,2,1.8,19,9.5
Biryani Express,2,0.0,1,0.5
Biryani Bot,2,0.0,3,1.5
Biryani Art,2,3.7,352,176.0
Bikano Chat Cafe,2,2.8,93,46.5
Bikaner's,2,2.65,15,7.5
Bikaner Sweets & Bakers,2,0.0,2,1.0
Bikaner Rasoi,2,0.0,1,0.5
Beliram Degchiwala,2,3.5,333,166.5
Beijing Street,2,3.7,242,121.0
Spooky Sky,2,3.45,82,41.0
SpiceKlub,2,4.3,3651,1825.5
Spice Route,2,3.5,319,159.5
Special Chicken Biryani,2,0.0,1,0.5
Spanish Delights,2,3.3,33,16.5
Soya Bite's,2,0.0,2,1.0
South Indian Corner,2,3.4,89,44.5
South Indian Cafe,2,3.0,60,30.0
South Cafe,2,1.75,96,48.0
Sonya Bakery Cafe,2,3.4,54,27.0
Snacks Point,2,1.45,5,2.5
Snack Shack,2,1.35,15,7.5
Snack Junction,2,3.1,37,18.5
Smoke House Deli,2,4.05,2292,1146.0
Syall Kotian Da Dhaba,2,1.5,20,10.0
Suruchi,2,3.6,836,418.0
Super Snacks,2,1.55,44,22.0
Sumo Sushi,2,3.95,91,45.5
Street Cafe,2,0.0,0,0.0
Stop My Starvation,2,4.3,209,104.5
Standard Sweets,2,1.8,32,16.0
Bijoli Grill,2,3.7,525,262.5
Big Wong XL,2,3.95,361,180.5
Big Fat Sandwich,2,3.2,253,126.5
Big Dragon,2,3.35,189,94.5
Big Biryani,2,0.0,1,0.5
Bhoj Restaurant,2,3.25,143,71.5
Bhimsain's Bengali Sweet House,2,3.15,564,282.0
Bhappe Di Hatti,2,3.3,45,22.5
Bengal Sweet Corner,2,2.8,192,96.0
The Artful Baker,2,2.0,220,110.0
Teddy Boy,2,3.75,1527,763.5
Tea Trails,2,1.85,58,29.0
Taste of India,2,2.1,186,93.0
Tandoori Tadka,2,1.65,18,9.0
Tandoori Junction,2,1.2,13,6.5
Tamura,2,3.4,182,91.0
Basil Tree,2,2.9,527,263.5
Barbeque Ville,2,4.1,372,186.0
Balaji Dhaba,2,1.35,14,7.0
